"date","season","team1","team2","pointspread","score1","score2","location","overtime","overunder"
"2017/09/10","2017","ARIZONA","Detroit",-2,23,35,"H",FALSE,48.5
"2017/09/17","2017","ARIZONA","Indianapolis",-7,16,13,"H",TRUE,44
"2017/09/25","2017","ARIZONA","DALLAS",3,17,28,"V",FALSE,46.5
"2017/10/01","2017","ARIZONA","S. FRAN.",-6.5,18,15,"H",TRUE,44
"2017/10/08","2017","ARIZONA","Philadelphia",6.5,7,34,"H",FALSE,45
"2017/10/15","2017","ARIZONA","TAMPA BAY",2.5,38,33,"V",FALSE,46
"2017/10/22","2017","ARIZONA","LA Rams",3,0,33,"N",FALSE,46
"2017/11/05","2017","ARIZONA","San Francisco",-2.5,20,10,"H",FALSE,39
"2017/11/09","2017","ARIZONA","SEATTLE",6,16,22,"V",FALSE,40.5
"2017/11/19","2017","ARIZONA","Houston",2,21,31,"H",FALSE,38.5
"2017/11/26","2017","ARIZONA","J'VILLE",5.5,27,24,"V",FALSE,38
"2017/12/03","2017","ARIZONA","LA RAMS",7,16,32,"V",FALSE,43.5
"2017/12/10","2017","ARIZONA","TENNESSEE",2.5,12,7,"V",FALSE,42.5
"2017/12/17","2017","ARIZONA","Washington",4.5,15,20,"H",FALSE,40.5
"2017/12/24","2017","ARIZONA","NY GIANTS",-3.5,23,0,"V",FALSE,39.5
"2017/12/31","2017","ARIZONA","Seattle",8.5,26,24,"H",FALSE,38
"2017/09/10","2017","ATLANTA","Chicago",-6.5,23,17,"H",FALSE,48.5
"2017/09/17","2017","ATLANTA","GREEN BAY",-3,34,23,"V",FALSE,54.5
"2017/09/24","2017","ATLANTA","Detroit",-3,30,26,"H",FALSE,50.5
"2017/10/01","2017","ATLANTA","BUFFALO",-8.5,17,23,"V",FALSE,48.5
"2017/10/15","2017","ATLANTA","MIAMI",-13.5,17,20,"V",FALSE,46
"2017/10/22","2017","ATLANTA","New England",3,7,23,"H",FALSE,56.5
"2017/10/29","2017","ATLANTA","Ny Jets",-6.5,25,20,"H",FALSE,44
"2017/11/05","2017","ATLANTA","Carolina",-2.5,17,20,"H",FALSE,42
"2017/11/12","2017","ATLANTA","DALLAS",-3.5,27,7,"V",FALSE,49
"2017/11/20","2017","ATLANTA","Seattle",1.5,34,31,"H",FALSE,46
"2017/11/26","2017","ATLANTA","TAMPA BAY",-10,34,20,"V",FALSE,47.5
"2017/12/03","2017","ATLANTA","MINNESOTA",-2.5,9,14,"V",FALSE,48
"2017/12/07","2017","ATLANTA","N. ORLEANS",-2.5,20,17,"H",FALSE,51.5
"2017/12/18","2017","ATLANTA","Tampa Bay",-6.5,24,21,"H",FALSE,48.5
"2017/12/24","2017","ATLANTA","New Orleans",5.5,13,23,"H",FALSE,52
"2017/12/31","2017","ATLANTA","CAROLINA",-4.5,22,10,"V",FALSE,44.5
"2018/01/06","2017","ATLANTA","LA Rams",6,26,13,"H",FALSE,48
"2018/01/13","2017","ATLANTA","Philadelphia",-2.5,10,15,"H",FALSE,40.5
"2017/09/10","2017","BALTIMORE","Cincinnati",3,20,0,"H",FALSE,41.5
"2017/09/17","2017","BALTIMORE","CLEVELAND",-7.5,24,10,"V",FALSE,39
"2017/09/24","2017","BALTIMORE","Jacksonville",-3,7,44,"N",FALSE,39
"2017/10/01","2017","BALTIMORE","PITTSBURGH",3.5,9,26,"V",FALSE,42
"2017/10/08","2017","BALTIMORE","Oakland",3,30,17,"H",FALSE,40.5
"2017/10/15","2017","BALTIMORE","CHICAGO",-6,24,27,"V",TRUE,39.5
"2017/10/22","2017","BALTIMORE","Minnesota",5,16,24,"H",FALSE,38
"2017/10/26","2017","BALTIMORE","MIAMI",-3,40,0,"V",FALSE,38
"2017/11/05","2017","BALTIMORE","Tennessee",3.5,20,23,"H",FALSE,42.5
"2017/11/19","2017","BALTIMORE","Green Bay",-2.5,23,0,"H",FALSE,38.5
"2017/11/27","2017","BALTIMORE","HOUSTON",-7.5,23,16,"V",FALSE,39.5
"2017/12/03","2017","BALTIMORE","DETROIT",-2.5,44,20,"V",FALSE,43.5
"2017/12/10","2017","BALTIMORE","Pittsburgh",5.5,38,39,"H",FALSE,43
"2017/12/17","2017","BALTIMORE","Cleveland",-7,27,10,"H",FALSE,42
"2017/12/23","2017","BALTIMORE","INDI.",-13.5,23,16,"V",FALSE,41
